 #Energy          XX(%)     YY(%)
 1.239842E+06     0.000     0.000
 6.199210E+04     0.000     0.000
 3.099605E+04     0.000     0.000
 2.062965E+04     0.000     0.000
 1.547868E+04     0.000     0.000
 1.238603E+04     0.000     0.000
 1.032341E+04     0.000     0.000
 8.849692E+03     0.000     0.000
 7.739338E+03     0.000     0.000
 6.880366E+03     0.000     0.000
 6.193017E+03     0.000     0.000
 5.630526E+03     0.000     0.000
 5.161707E+03     0.000     0.000
 4.763127E+03     0.000     0.000
 4.423268E+03     0.000     0.000
 4.128678E+03     0.000     0.000
 3.870877E+03     0.000     0.000
 3.643379E+03     0.000     0.000
 3.440183E+03     0.000     0.000
 3.259311E+03     0.000     0.000
 3.096508E+03     0.000     0.000
 2.949196E+03     0.000     0.000
 2.815263E+03     0.000     0.000
 2.692382E+03     0.000     0.000
 2.580316E+03     0.000     0.000
 2.477207E+03     0.000     0.000
 2.382021E+03     0.000     0.000
 2.293880E+03     0.000     0.000
 2.211634E+03     0.000     0.000
 2.135449E+03     0.000     0.000
 2.064339E+03     0.000     0.000
 1.997812E+03     0.000     0.000
 1.935439E+03     0.000     0.000
 1.876558E+03     0.000     0.000
 1.821422E+03     0.000     0.000
 1.769433E+03     0.000     0.000
 1.720330E+03     0.000     0.000
 1.673879E+03     0.000     0.000
 1.629656E+03     0.000     0.000
 1.587912E+03     0.000     0.000
 1.548254E+03     0.000     0.000
 1.510529E+03     0.000     0.000
 1.474598E+03     0.000     0.000
 1.440169E+03     0.000     0.000
 1.407472E+03     0.000     0.000
 1.376226E+03     0.000     0.000
 1.346337E+03     0.000     0.000
 1.317719E+03     0.000     0.000
 1.290158E+03     0.000     0.000
 1.263855E+03     0.000     0.000
 1.238603E+03     0.000     0.000
 1.214341E+03     0.000     0.000
 1.191010E+03     0.000     0.000
 1.168450E+03     0.000     0.000
 1.146834E+03     0.000     0.000
 1.126003E+03     0.000     0.000
 1.105916E+03     0.000     0.000
 1.086532E+03     0.000     0.000
 1.067725E+03     0.000     0.000
 1.049646E+03     0.000     0.000
 1.032169E+03     0.000     0.000
 1.015265E+03     0.000     0.000
 9.989058E+02     0.000     0.000
 9.829873E+02     0.000     0.000
 9.676437E+02     0.000     0.000
 9.527718E+02     0.000     0.000
 9.383500E+02     0.000     0.000
 9.243584E+02     0.000     0.000
 9.107110E+02     0.000     0.000
 8.975256E+02     0.000     0.000
 8.847167E+02     0.000     0.000
 8.722681E+02     0.000     0.000
 8.601651E+02     0.000     0.000
 8.483352E+02     0.000     0.000
 8.368828E+02     0.000     0.000
 8.257355E+02     0.000     0.000
 8.148813E+02     0.000     0.000
 8.043087E+02     0.000     0.000
 7.939561E+02     0.000     0.000
 7.839162E+02     0.000     0.000
 7.741271E+02     0.000     0.000
 7.645794E+02     0.000     0.000
 7.552643E+02     0.000     0.000
 7.461286E+02     0.000     0.000
 7.372551E+02     0.000     0.000
 7.285902E+02     0.000     0.000
 7.201266E+02     0.000     0.000
 7.118573E+02     0.000     0.000
 7.037359E+02     0.000     0.000
 6.958367E+02     0.000     0.000
 6.881130E+02     0.000     0.000
 6.805587E+02     0.000     0.000
 6.731686E+02     0.000     0.000
 6.659015E+02     0.000     0.000
 6.588245E+02     0.000     0.000
 6.518965E+02     0.000     0.000
 6.451126E+02     0.000     0.000
 6.384685E+02     0.000     0.000
 6.319276E+02     0.000     0.000
 6.255509E+02     0.000     0.000
 6.193017E+02     0.000     0.000
 6.131760E+02     0.000     0.000
 6.071704E+02     0.000     0.000
 6.012521E+02     0.000     0.000
 5.954766E+02     0.000     0.000
 5.898111E+02     0.000     0.000
 5.842524E+02     0.000     0.000
 5.787974E+02     0.000     0.000
 5.734169E+02     0.000     0.000
 5.681615E+02     0.000     0.000
 5.630015E+02     0.000     0.000
 5.579344E+02     0.000     0.000
 5.529578E+02     0.000     0.000
 5.480449E+02     0.000     0.000
 5.432423E+02     0.000     0.000
 5.385232E+02     0.000     0.000
 5.338853E+02     0.000     0.000
 5.293267E+02     0.000     0.000
 5.248230E+02     0.000     0.000
 5.204172E+02     0.000     0.000
 5.160847E+02     0.000     0.000
 5.118238E+02     0.000     0.000
 5.076326E+02     0.000     0.000
 5.034891E+02     0.000     0.000
 4.994328E+02     0.000     0.000
 4.954413E+02     0.000     0.000
 4.915131E+02     0.000     0.000
 4.876468E+02     0.000     0.000
 4.838219E+02     0.000     0.000
 4.800751E+02     0.000     0.000
 4.763859E+02     0.000     0.000
 4.727530E+02     0.000     0.000
 4.691750E+02     0.000     0.000
 4.656333E+02     0.000     0.000
 4.621620E+02     0.000     0.000
 4.587420E+02     0.000     0.000
 4.553722E+02     0.000     0.000
 4.520516E+02     0.000     0.000
 4.487628E+02     0.000     0.000
 4.455376E+02     0.000     0.000
 4.423583E+02     0.000     0.000
 4.392241E+02     0.000     0.000
 4.361341E+02     0.000     0.000
 4.330720E+02     0.000     0.000
 4.300676E+02     0.000     0.000
 4.271046E+02     0.000     0.000
 4.241821E+02     0.000     0.000
 4.212994E+02     0.000     0.000
 4.184414E+02     0.000     0.000
 4.156359E+02     0.000     0.000
 4.128678E+02     0.000     0.000
 4.101363E+02     0.000     0.000
 4.074407E+02     0.000     0.000
 4.047670E+02     0.000     0.000
 4.021413E+02     0.000     0.000
 3.995495E+02     0.000     0.000
 3.969908E+02     0.000     0.000
 3.944647E+02     0.000     0.000
 3.919581E+02     0.000     0.000
 3.894955E+02     0.000     0.000
 3.870635E+02     0.000     0.000
 3.846618E+02     0.000     0.000
 3.822897E+02     0.000     0.000
 3.799350E+02     0.000     0.000
 3.776207E+02     0.000     0.000
 3.753343E+02     0.000     0.000
 3.730755E+02     0.000     0.000
 3.708438E+02     0.000     0.000
 3.686276E+02     0.000     0.000
 3.664485E+02     0.000     0.000
 3.642951E+02     0.000     0.000
 3.621668E+02     0.000     0.000
 3.600633E+02     0.000     0.000
 3.579737E+02     0.000     0.000
 3.559184E+02     0.000     0.000
 3.538867E+02     0.000     0.000
 3.518779E+02     0.000     0.000
 3.498919E+02     0.000     0.000
 3.479184E+02     0.000     0.000
 3.459766E+02     0.000     0.000
 3.440565E+02     0.000     0.000
 3.421575E+02     0.000     0.000
 3.402794E+02     0.000     0.000
 3.384125E+02     0.000     0.000
 3.365752E+02     0.000     0.000
 3.347577E+02     0.000     0.000
 3.329597E+02     0.000     0.000
 3.311809E+02     0.000     0.000
 3.294123E+02     0.000     0.000
 3.276711E+02     0.000     0.000
 3.259482E+02     0.000     0.000
 3.242434E+02     0.000     0.000
 3.225563E+02     0.000     0.000
 3.208784E+02     0.000     0.000
 3.192260E+02     0.000     0.000
 3.175906E+02     0.000     0.000
 3.159718E+02     0.000     0.000
 3.143695E+02     0.000     0.000
 3.127755E+02     0.000     0.000
 3.112053E+02     0.000     0.000
 3.096508E+02     0.000     0.000
 3.081118E+02     0.000     0.000
 3.065880E+02     0.000     0.000
 3.050717E+02     0.000     0.000
 3.035778E+02     0.000     0.000
 3.020984E+02     0.000     0.000
