 #Energy          XX(%)     YY(%)
 1.239842E+06     0.000     0.000
 3.099605E+04     0.000     0.000
 1.547868E+04     0.000     0.000
 1.032341E+04     0.001     0.001
 7.739338E+03     0.002     0.002
 6.193017E+03     0.003     0.003
 5.161707E+03     0.004     0.004
 4.423268E+03     0.006     0.006
 3.870877E+03     0.007     0.007
 3.440183E+03     0.009     0.009
 3.096508E+03     0.012     0.012
 2.815263E+03     0.014     0.014
 2.580316E+03     0.017     0.017
 2.382021E+03     0.020     0.020
 2.211634E+03     0.024     0.024
 2.064339E+03     0.028     0.028
 1.935439E+03     0.032     0.032
 1.821422E+03     0.036     0.036
 1.720330E+03     0.041     0.041
 1.629656E+03     0.047     0.047
 1.548254E+03     0.053     0.053
 1.474598E+03     0.059     0.059
 1.407472E+03     0.066     0.066
 1.346337E+03     0.074     0.074
 1.290158E+03     0.082     0.082
 1.238603E+03     0.091     0.091
 1.191010E+03     0.101     0.101
 1.146834E+03     0.112     0.112
 1.105916E+03     0.123     0.123
 1.067725E+03     0.136     0.136
 1.032169E+03     0.150     0.150
 9.989058E+02     0.166     0.166
 9.676437E+02     0.183     0.183
 9.383500E+02     0.202     0.202
 9.107110E+02     0.223     0.223
 8.847167E+02     0.246     0.246
 8.601651E+02     0.272     0.272
 8.368828E+02     0.301     0.301
 8.148813E+02     0.334     0.334
 7.939561E+02     0.372     0.372
 7.741271E+02     0.415     0.415
 7.552643E+02     0.465     0.465
 7.372551E+02     0.523     0.523
 7.201266E+02     0.591     0.591
 7.037359E+02     0.672     0.672
 6.881130E+02     0.770     0.770
 6.731686E+02     0.891     0.891
 6.588245E+02     1.043     1.043
 6.451126E+02     1.239     1.239
 6.319276E+02     1.498     1.498
 6.193017E+02     1.852     1.852
 6.071704E+02     2.356     2.356
 5.954766E+02     3.102     3.102
 5.842524E+02     4.240     4.240
 5.734169E+02     5.963     5.963
 5.630015E+02     8.224     8.224
 5.529578E+02     9.962     9.963
 5.432423E+02     9.626     9.626
 5.338853E+02     7.927     7.927
 5.248230E+02     6.445     6.445
 5.160847E+02     5.633     5.633
 5.076326E+02     5.417     5.417
 4.994328E+02     5.704     5.704
 4.915131E+02     6.500     6.500
 4.838219E+02     7.918     7.918
 4.763859E+02    10.174    10.174
 4.691750E+02    13.467    13.467
 4.621620E+02    17.655    17.655
 4.553722E+02    22.009    22.010
 4.487628E+02    24.711    24.711
 4.423583E+02    24.202    24.202
 4.361341E+02    21.845    21.846
 4.300676E+02    20.051    20.051
 4.241821E+02    19.249    19.249
 4.184414E+02    18.197    18.197
 4.128678E+02    16.997    16.997
 4.074407E+02    16.415    16.415
 4.021413E+02    16.654    16.654
 3.969908E+02    17.377    17.377
 3.919581E+02    17.870    17.870
 3.870635E+02    18.295    18.295
 3.822897E+02    18.126    18.126
 3.776207E+02    16.514    16.514
 3.730755E+02    14.510    14.510
 3.686276E+02    13.228    13.228
 3.642951E+02    12.674    12.674
 3.600633E+02    12.857    12.857
 3.559184E+02    13.864    13.864
 3.518779E+02    14.968    14.968
 3.479184E+02    15.147    15.147
 3.440565E+02    14.581    14.581
 3.402794E+02    13.549    13.549
 3.365752E+02    11.842    11.842
 3.329597E+02    10.109    10.109
 3.294123E+02     8.959     8.959
 3.259482E+02     8.482     8.482
 3.225563E+02     8.560     8.560
 3.192260E+02     9.007     9.007
 3.159718E+02     9.418     9.418
 3.127755E+02     9.237     9.237
 3.096508E+02     8.702     8.702
 3.065880E+02     8.237     8.237
 3.035778E+02     7.993     7.993
 3.006333E+02     8.141     8.141
 2.977383E+02     8.785     8.785
 2.949056E+02    10.056    10.056
 2.921262E+02    12.182    12.182
 2.893919E+02    15.208    15.208
 2.867151E+02    18.297    18.297
 2.840807E+02    20.286    20.286
 2.815008E+02    22.110    22.110
 2.789672E+02    25.003    25.003
 2.764727E+02    27.729    27.729
 2.740285E+02    27.890    27.890
 2.716212E+02    25.587    25.587
 2.692616E+02    23.138    23.138
 2.669427E+02    21.989    21.989
 2.646577E+02    21.443    21.443
 2.624171E+02    20.086    20.086
 2.602086E+02    18.475    18.475
 2.580424E+02    18.004    18.004
 2.559119E+02    18.562    18.562
 2.538111E+02    18.477    18.477
 2.517497E+02    17.099    17.098
 2.497164E+02    15.625    15.625
 2.477207E+02    14.575    14.575
 2.457566E+02    14.027    14.027
 2.438186E+02    14.239    14.239
 2.419157E+02    14.920    14.920
 2.400375E+02    15.813    15.813
 2.381929E+02    17.322    17.322
 2.363765E+02    18.872    18.872
 2.345831E+02    18.788    18.788
 2.328210E+02    17.029    17.029
 2.310810E+02    14.729    14.729
 2.293710E+02    12.837    12.837
 2.276861E+02    11.548    11.548
 2.260217E+02    10.634    10.634
 2.243855E+02    10.117    10.117
 2.227688E+02    10.178    10.178
 2.211792E+02    11.071    11.071
 2.196121E+02    12.753    12.753
 2.180632E+02    14.501    14.501
 2.165398E+02    15.478    15.478
 2.150338E+02    15.435    15.435
 2.135523E+02    14.581    14.581
 2.120911E+02    13.588    13.588
 2.106461E+02    13.354    13.354
 2.092242E+02    14.230    14.230
 2.078180E+02    15.590    15.590
 2.064339E+02    16.038    16.038
 2.050681E+02    15.189    15.189
 2.037170E+02    14.124    14.124
 2.023868E+02    13.613    13.613
 2.010707E+02    13.137    13.137
 1.997747E+02    12.197    12.197
 1.984954E+02    11.195    11.195
 1.972292E+02    10.527    10.527
 1.959822E+02    10.363    10.363
 1.947477E+02    10.792    10.792
 1.935318E+02    11.727    11.727
 1.923309E+02    12.847    12.847
 1.911419E+02    14.003    14.003
 1.899704E+02    15.120    15.120
 1.888103E+02    15.489    15.489
 1.876672E+02    14.757    14.757
 1.865378E+02    13.762    13.762
 1.854191E+02    12.878    12.878
 1.843165E+02    12.171    12.171
 1.832243E+02    11.815    11.815
 1.821475E+02    11.605    11.605
